title,occupation_code,occupation_family,occupation_family_id,description,technology_skills,salary_median,abilities,url
"Social Sciences Teachers, Postsecondary, All Other",25-1069.00,"Education, Training, and Library",25,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['R', 'Go']","$75,040","['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/25-1069.00
"Social Work Teachers, Postsecondary",25-1113.00,"Education, Training, and Library",25,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']","$76,210","['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/25-1113.00
"Sociology Teachers, Postsecondary",25-1067.00,"Education, Training, and Library",25,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['R', 'MATLAB', 'Go', 'React', 'AWS', 'Excel']","$82,540","['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/25-1067.00
"Substitute Teachers, Short-Term",25-3031.00,"Education, Training, and Library",25,"Sample of reported job titles:Building Sub (Building Substitute), Building Sub Teacher (Building Substitute Teacher), Child Development Sub Teacher (Child Development Substitute Teacher), ESL Sub (English as a Second Language Substitute), HS Sub Teacher (High School Substitute Teacher), Pre-School Sub Teacher (Pre-School Substitute Teacher), Short-Term Sub Teacher (Short-Term Substitute Teacher), Sub (Substitute), Sub Teacher (Substitute Teacher)","['R', 'Go', 'React', 'Excel']",$18.50,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Teach daily living skills or behaviors.Related occupations', 'Teach life skills.Related occupations', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/25-3031.00
"Teaching Assistants, All Other",25-9049.00,"Education, Training, and Library",25,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['R', 'Go']","$35,240","['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/25-9049.00
"Teaching Assistants, Postsecondary",25-9044.00,"Education, Training, and Library",25,"Assist faculty or other instructional staff in postsecondary institutions by performing instructional support activities, such as developing teaching materials, leading discussion groups, preparing and giving examinations, and grading examinations or papers.","['R', 'Go', 'React', 'AWS', 'Excel', 'SQL']","$44,930","['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/25-9044.00
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",25-9042.00,"Education, Training, and Library",25,"Assist a preschool, elementary, middle, or secondary school teacher with instructional duties. Serve in a position for which a teacher has primary responsibility for the design and implementation of educational programs and services.","['R', 'Go', 'React', 'AWS', 'Excel']","$35,240","['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Teach social skills to students.Related occupations', 'Laminate teaching materials to increase their durability under repeated use.Related occupations', 'Teach daily living skills or behaviors.Related occupations', 'Teach life skills.Related occupations', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Far Vision— The ability to see details at a distance.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/25-9042.00
"Teaching Assistants, Special Education",25-9043.00,"Education, Training, and Library",25,"Assist a preschool, elementary, middle, or secondary school teacher to provide academic, social, or life skills to students who have learning, emotional, or physical disabilities. Serve in a position for which a teacher has primary responsibility for the design and implementation of educational programs and services.","['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']","$35,240","['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Laminate teaching materials to increase their durability under repeated use.Related occupations', 'Teach life skills.Related occupations', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Association on Higher Education and Disabilityexternal site', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/25-9043.00
Athletes and Sports Competitors,27-2021.00,"Arts, Design, Entertainment, Sports, and Media",27,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']","$62,360","['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Evaluate skills of athletes or performers.Related occupations', 'Practice athletic or artistic skills.Related occupations', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Far Vision— The ability to see details at a distance.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/27-2021.00
Editors,27-3041.00,"Arts, Design, Entertainment, Sports, and Media",27,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['R', 'Go', 'HTML', 'CSS', 'React', 'AWS', 'Git', 'Excel']",$36.18,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/27-3041.00
"Entertainers and Performers, Sports and Related Workers, All Other",27-2099.00,"Arts, Design, Entertainment, Sports, and Media",27,,"['R', 'Go']",$20.99,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/27-2099.00
Film and Video Editors,27-4032.00,"Arts, Design, Entertainment, Sports, and Media",27,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['Java', 'JavaScript', 'R', 'Go', 'Rust', 'HTML', 'CSS', 'AWS', 'Git', 'Excel']",$34.12,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/27-4032.00
"Fine Artists, Including Painters, Sculptors, and Illustrators",27-1013.00,"Arts, Design, Entertainment, Sports, and Media",27,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['Python', 'Java', 'JavaScript', 'C++', 'C#', 'R', 'Go', 'HTML']",$29.12,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Far Vision— The ability to see details at a distance.Related occupations', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/27-1013.00
"Media and Communication Equipment Workers, All Other",27-4099.00,"Arts, Design, Entertainment, Sports, and Media",27,,"['R', 'Go']",$32.30,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/27-4099.00
"News Analysts, Reporters, and Journalists",27-3023.00,"Arts, Design, Entertainment, Sports, and Media",27,"Narrate or write news stories, reviews, or commentary for print, broadcast, or other communications media such as newspapers, magazines, radio, or television. May collect and analyze information through interview, investigation, or observation.","['R', 'Go', 'HTML', 'React', 'AWS', 'Git', 'Excel', 'SQL']",$28.98,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Far Vision— The ability to see details at a distance.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/27-3023.00
"Poets, Lyricists and Creative Writers",27-3043.05,"Arts, Design, Entertainment, Sports, and Media",27,"Create original written works, such as scripts, essays, prose, poetry or song lyrics, for publication or performance.","['R', 'Go', 'React', 'Excel']",$34.75,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/27-3043.05
Set and Exhibit Designers,27-1027.00,"Arts, Design, Entertainment, Sports, and Media",27,"Design special exhibits and sets for film, video, television, and theater productions. May study scripts, confer with directors, and conduct research to determine appropriate architectural styles.","['R', 'Go', 'Rust', 'React', 'Excel', 'SQL']",$31.87,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Far Vision— The ability to see details at a distance.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/27-1027.00
Technical Writers,27-3042.00,"Arts, Design, Entertainment, Sports, and Media",27,"Sample of reported job titles:Documentation Designer, Documentation Specialist, Engineering Writer, Information Developer, Medical Writer, Narrative Writer, Requirements Analyst, Technical Communicator, Technical Writer","['Java', 'R', 'Go', 'CSS', 'AWS', 'Git', 'Excel', 'SQL', 'PHP', 'ASP.NET']",$44.07,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/27-3042.00
Writers and Authors,27-3043.00,"Arts, Design, Entertainment, Sports, and Media",27,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['R', 'Go', 'Rust', 'HTML', 'React', 'Excel', 'MySQL', 'SQL', 'PHP']",$34.75,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/27-3043.00
Anesthesiologist Assistants,29-1071.01,Healthcare Practitioners and Technical,29,Assist anesthesiologists in the administration of anesthesia for surgical and non-surgical procedures. Monitor patient status and provide patient care during surgical treatment.,"['R', 'Go', 'Rust', 'React', 'AWS', 'Excel', 'Perl']",$64.07,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Verify availability of operating room supplies, medications, and gases.Related occupations', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/29-1071.01
Athletic Trainers,29-9091.00,Healthcare Practitioners and Technical,29,"Evaluate and treat musculoskeletal injuries or illnesses. Provide preventive, therapeutic, emergency, and rehabilitative care.","['R', 'Go', 'Rust', 'React', 'AWS', 'Git', 'Excel']","$60,250","['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Far Vision— The ability to see details at a distance.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/29-9091.00
Critical Care Nurses,29-1141.03,Healthcare Practitioners and Technical,29,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['R', 'Go', 'Rust', 'React', 'AWS', 'Perl']",$45.00,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/29-1141.03
Dietitians and Nutritionists,29-1031.00,Healthcare Practitioners and Technical,29,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['R', 'Go', 'React', 'AWS', 'Excel']",$35.50,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/29-1031.00
"Healthcare Diagnosing or Treating Practitioners, All Other",29-1299.00,Healthcare Practitioners and Technical,29,,"['R', 'Go']",$54.68,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/29-1299.00
"Healthcare Practitioners and Technical Workers, All Other",29-9099.00,Healthcare Practitioners and Technical,29,,"['R', 'Go']",$30.78,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/29-9099.00
Hearing Aid Specialists,29-2092.00,Healthcare Practitioners and Technical,29,"Select and fit hearing aids for customers. Administer and interpret tests of hearing. Assess hearing instrument efficacy. Take ear impressions and prepare, design, and modify ear molds.","['R', 'Go', 'React', 'AWS', 'Excel']",$29.60,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/29-2092.00
Hospitalists,29-1229.02,Healthcare Practitioners and Technical,29,"Provide inpatient care predominantly in settings such as medical wards, acute care units, intensive care units, rehabilitation centers, or emergency rooms. Manage and coordinate patient care throughout treatment.","['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']",$115.00,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/29-1229.02
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",29-1122.01,Healthcare Practitioners and Technical,29,"Provide therapy to patients with visual impairments to improve their functioning in daily life activities. May train patients in activities such as computer use, communication skills, or home management skills.","['Python', 'Java', 'R', 'Go', 'Rust', 'React', 'AWS', 'Git', 'Excel', 'Ruby']",$47.28,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Teach self-advocacy skills to clients.Related occupations', 'Teach life skills or strategies to clients or their families.Related occupations', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Far Vision— The ability to see details at a distance.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/29-1122.01
Nurse Practitioners,29-1171.00,Healthcare Practitioners and Technical,29,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']",$62.12,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Far Vision— The ability to see details at a distance.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/29-1171.00
Physical Medicine and Rehabilitation Physicians,29-1229.04,Healthcare Practitioners and Technical,29,"Diagnose and treat disorders requiring physiotherapy to provide physical, mental, and occupational rehabilitation.","['R', 'Go', 'Rust', 'React', 'AWS']",$115.00,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/29-1229.04
Physician Assistants,29-1071.00,Healthcare Practitioners and Technical,29,"Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants.","['R', 'Go', 'Rust', 'React', 'AWS', 'Git', 'Excel']",$64.07,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Far Vision— The ability to see details at a distance.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/29-1071.00
Surgical Assistants,29-9093.00,Healthcare Practitioners and Technical,29,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['R', 'Go', 'Rust', 'React', 'AWS', 'Excel', 'Perl']",$28.99,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Far Vision— The ability to see details at a distance.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/29-9093.00
Dental Assistants,31-9091.00,Healthcare Support,31,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']",$22.74,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/31-9091.00
Home Health Aides,31-1121.00,Healthcare Support,31,"Monitor the health status of an individual with disabilities or illness, and address their health-related needs, such as changing bandages, dressing wounds, or administering medication. Work is performed under the direction of offsite or intermittent onsite licensed nursing staff. Provide assistance with routine healthcare tasks or activities of daily living, such as feeding, bathing, toileting, or ambulation. May also help with tasks such as preparing meals, doing light housekeeping, and doing laundry depending on the patient's abilities.","['Python', 'R', 'Go', 'React', 'AWS', 'Linux', 'Excel']",$16.78,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Teach basic living or other adaptive skills to patients or caregivers.Related occupations', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Far Vision— The ability to see details at a distance.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/31-1121.00
Medical Assistants,31-9092.00,Healthcare Support,31,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']",$21.25,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/31-9092.00
Medical Equipment Preparers,31-9093.00,Healthcare Support,31,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['R', 'Go', 'CSS', 'AWS', 'Excel', 'Perl']",$22.35,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/31-9093.00
Nursing Assistants,31-1131.00,Healthcare Support,31,"Provide or assist with basic care or support under the direction of onsite licensed nursing staff. Perform duties such as monitoring of health status, feeding, bathing, dressing, grooming, toileting, or ambulation of patients in a health or nursing facility. May include medication administration and other health-related tasks. Includes nursing care attendants, nursing aides, and nursing attendants.","['R', 'Go', 'Rust', 'React', 'Apache Spark', 'AWS', 'Excel']",$19.01,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/31-1131.00
Occupational Therapy Aides,31-2012.00,Healthcare Support,31,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']",$17.97,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Teach basic living or other adaptive skills to patients or caregivers.Related occupations', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/31-2012.00
Occupational Therapy Assistants,31-2011.00,Healthcare Support,31,"Assist occupational therapists in providing occupational therapy treatments and procedures. May, in accordance with state laws, assist in development of treatment plans, carry out routine functions, direct activity programs, and document the progress of treatments. Generally requires formal training.","['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']",$32.86,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Teach basic living or other adaptive skills to patients or caregivers.Related occupations', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/31-2011.00
Personal Care Aides,31-1122.00,Healthcare Support,31,"Provide personalized assistance to individuals with disabilities or illness who require help with personal care and activities of daily living support (e.g., feeding, bathing, dressing, grooming, toileting, and ambulation). May also provide help with tasks such as preparing meals, doing light housekeeping, and doing laundry. Work is performed in various settings depending on the needs of the care recipient and may include locations such as their home, place of work, out in the community, or at a daytime nonresidential facility.","['R', 'Go', 'Rust', 'React', 'AWS']",$16.78,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/31-1122.00
Pharmacy Aides,31-9095.00,Healthcare Support,31,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']",$17.79,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/31-9095.00
Physical Therapist Aides,31-2022.00,Healthcare Support,31,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']",$16.59,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/31-2022.00
Physical Therapist Assistants,31-2021.00,Healthcare Support,31,"Assist physical therapists in providing physical therapy treatments and procedures. May, in accordance with state laws, assist in the development of treatment plans, carry out routine functions, document the progress of treatment, and modify specific treatments in accordance with patient status and within the scope of treatment plans established by a physical therapist. Generally requires formal training.","['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']",$31.50,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Far Vision— The ability to see details at a distance.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/31-2021.00
