title,occupation_family,salary_median_clean,job_growth
Writers and Authors,"Arts, Design, Entertainment, Sports, and Media",34.75,
"Poets, Lyricists and Creative Writers","Arts, Design, Entertainment, Sports, and Media",34.75,
Real Estate Brokers,Sales and Related,34.75,
Energy Auditors,Construction and Extraction,34.67,
Construction and Building Inspectors,Construction and Extraction,34.67,
"Media and Communication Workers, All Other","Arts, Design, Entertainment, Sports, and Media",34.51,
Gas Compressor and Gas Pumping Station Operators,Transportation and Material Moving,34.38,
"Mathematical Science Occupations, All Other",Computer and Mathematical Occupations,34.37,
Bioinformatics Technicians,Computer and Mathematical Occupations,34.37,
"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Installation, Maintenance, and Repair",34.28,
First-Line Supervisors of Production and Operating Workers,Production,34.23,
Film and Video Editors,"Arts, Design, Entertainment, Sports, and Media",34.12,
Electro-Mechanical and Mechatronics Technologists and Technicians,Architecture and Engineering,34.02,
Foresters,"Life, Physical, and Social Science",33.97,
Telecommunications Line Installers and Repairers,"Installation, Maintenance, and Repair",33.9,
Pile Driver Operators,Construction and Extraction,33.9,
Public Relations Specialists,"Arts, Design, Entertainment, Sports, and Media",33.55,
"Social Workers, All Other",Community and Social Service,33.4,
"Loading and Moving Machine Operators, Underground Mining",Construction and Extraction,33.11,
"Camera Operators, Television, Video, and Film","Arts, Design, Entertainment, Sports, and Media",33.08,
"Legal Support Workers, All Other",Legal Occupations,33.06,
Automotive Engineering Technicians,Architecture and Engineering,33.04,
Mechanical Engineering Technologists and Technicians,Architecture and Engineering,33.04,
Mechanical Drafters,Architecture and Engineering,32.94,
Occupational Therapy Assistants,Healthcare Support,32.86,
Fish and Game Wardens,Protective Service,32.78,
Lodging Managers,Management Occupations,32.76,
Healthcare Social Workers,Community and Social Service,32.74,
Park Naturalists,"Life, Physical, and Social Science",32.67,
Conservation Scientists,"Life, Physical, and Social Science",32.67,
"Arbitrators, Mediators, and Conciliators",Legal Occupations,32.55,
Fabric and Apparel Patternmakers,Production,32.54,
Forensic Science Technicians,"Life, Physical, and Social Science",32.42,
Rail-Track Laying and Maintenance Equipment Operators,Construction and Extraction,32.39,
Court Reporters and Simultaneous Captioners,"Arts, Design, Entertainment, Sports, and Media",32.36,
